iter	MultiClass
0	0.6563780583
1	0.6236924095
2	0.5911425715
3	0.5630782865
4	0.5356657082
5	0.5106303933
6	0.4833183599
7	0.4593516817
8	0.4361887164
9	0.4180341697
10	0.400522302
11	0.3831059261
12	0.3661065846
13	0.3506179855
14	0.3363351287
15	0.3218554637
16	0.3079490152
17	0.2971972645
18	0.2857488336
19	0.2756508628
20	0.264928233
21	0.2546139731
22	0.2447053012
23	0.2358091195
24	0.2274321793
25	0.2197440801
26	0.2128105771
27	0.2052719837
28	0.1993538885
29	0.1925768417
30	0.1869080325
31	0.1799993343
32	0.1734561624
33	0.1666156858
34	0.1603946986
35	0.1552026372
36	0.1498349858
37	0.1454452215
38	0.1415968815
39	0.1369054359
40	0.1328140908
41	0.12902569
42	0.1253943843
43	0.1219857382
44	0.1173783716
45	0.1132916228
46	0.1099538686
47	0.1074219519
48	0.1052452975
49	0.1022147236
50	0.09828458998
51	0.09603777843
52	0.09321002097
53	0.0907996184
54	0.08823778841
55	0.08599875744
56	0.08406512932
57	0.08141069237
58	0.07924834311
59	0.07754446505
60	0.0756873874
61	0.07377017357
62	0.07214088754
63	0.0702548339
64	0.06902504877
65	0.06739235419
66	0.06577489071
67	0.06409633359
68	0.06258853689
69	0.06142487144
70	0.05969667283
71	0.0582456166
72	0.05723198791
73	0.05637146968
74	0.0549786375
75	0.05362996774
76	0.05243296723
77	0.05153601439
78	0.05070581294
79	0.04933574924
80	0.0484481873
81	0.04751997503
82	0.04694912007
83	0.04629772549
84	0.04550422968
85	0.04426091441
86	0.04331043492
87	0.04252935616
88	0.04176796724
89	0.04121793876
90	0.04043385321
91	0.03947103422
92	0.03887587423
93	0.03816326997
94	0.03761351782
95	0.03681647173
96	0.03592570407
97	0.03529477514
98	0.03473951575
99	0.03421948971
100	0.03345379719
101	0.03310285624
102	0.03235281782
103	0.03172713204
104	0.03138684038
105	0.03078611277
106	0.03021582193
107	0.02973312824
108	0.02911005123
109	0.02881584991
110	0.02839423391
111	0.02803888837
112	0.02761596867
113	0.02710798979
114	0.02668781989
115	0.02627380378
116	0.02587841512
117	0.02561695716
118	0.02523153206
119	0.02476037943
120	0.02438781203
121	0.02394391329
122	0.02350938237
123	0.02313184172
124	0.02266027572
125	0.02213581063
126	0.02189649392
127	0.02153626348
128	0.02115752984
129	0.02089424047
130	0.02069639405
131	0.02049534121
132	0.02025633042
133	0.02000733384
134	0.01980274187
135	0.01942646851
136	0.01922218128
137	0.01893849648
138	0.0187191111
139	0.01836216131
140	0.01816310266
141	0.01795390061
142	0.01767317531
143	0.01734604785
144	0.0171010137
145	0.01682967293
146	0.01650246829
147	0.01625039117
148	0.01603564358
149	0.01586320064
150	0.01564625389
151	0.01543597859
152	0.01523753154
153	0.0150869958
154	0.01490500467
155	0.01470393796
156	0.01451696923
157	0.01430774178
158	0.01406128626
159	0.0138969808
160	0.0137616133
161	0.01360625655
162	0.01342426492
163	0.01327659491
164	0.01310189111
165	0.0129306692
166	0.01277192582
167	0.0125101094
168	0.01237947573
169	0.01215300293
170	0.01203656751
171	0.01182493955
172	0.01160421608
173	0.01135981083
174	0.01116706306
175	0.01099339214
176	0.01091481397
177	0.01082122927
178	0.0107250482
179	0.01062426979
180	0.01046822205
181	0.01030693058
182	0.01018307779
183	0.0100666824
184	0.01000014067
185	0.009882930178
