iter	Passed	Remaining
0	47	47071
1	95	47760
2	137	45724
3	175	43649
4	211	42024
5	247	40948
6	284	40355
7	294	36491
8	328	36176
9	364	36099
10	401	36094
11	437	36058
12	474	35987
13	512	36064
14	547	35963
15	582	35831
16	616	35671
17	651	35562
18	687	35475
19	721	35357
20	757	35298
21	792	35227
22	828	35201
23	863	35108
24	898	35027
25	932	34933
26	966	34843
27	1002	34806
28	1036	34712
29	1071	34638
30	1107	34622
31	1142	34565
32	1177	34507
33	1213	34471
34	1249	34437
35	1284	34384
36	1318	34315
37	1353	34261
38	1387	34191
39	1422	34150
40	1458	34104
41	1493	34055
42	1528	34020
43	1563	33979
44	1599	33940
45	1637	33953
46	1672	33915
47	1709	33901
48	1745	33871
49	1780	33835
50	1817	33818
51	1855	33832
52	1893	33830
53	1930	33824
54	1966	33785
55	2001	33746
56	2037	33713
57	2072	33659
58	2107	33613
59	2142	33570
60	2177	33525
61	2213	33487
62	2248	33435
63	2283	33391
64	2318	33354
65	2354	33316
66	2389	33277
67	2430	33307
68	2469	33314
69	2509	33340
70	2549	33363
71	2586	33341
72	2622	33306
73	2658	33264
74	2698	33277
75	2734	33250
76	2772	33230
77	2811	33235
78	2847	33199
79	2883	33157
80	2919	33119
81	2954	33072
82	2989	33028
83	3025	32994
84	3064	32991
85	3104	32991
86	3143	32993
87	3180	32959
88	3216	32922
89	3256	32925
90	3297	32934
91	3333	32904
92	3372	32891
93	3412	32887
94	3452	32885
95	3492	32884
96	3529	32854
97	3565	32818
98	3602	32789
99	3640	32764
100	3680	32763
101	3718	32739
102	3755	32707
103	3790	32654
104	3825	32605
105	3859	32551
106	3894	32504
107	3929	32456
108	3964	32410
109	4001	32374
110	4035	32322
111	4070	32276
112	4106	32234
113	4143	32199
114	4178	32155
115	4216	32130
116	4252	32096
117	4288	32053
118	4323	32005
119	4357	31954
120	4393	31914
121	4429	31875
122	4465	31842
123	4501	31803
124	4538	31771
125	4549	31557
126	4586	31527
127	4621	31482
128	4656	31442
129	4691	31395
130	4727	31359
131	4763	31323
132	4799	31285
133	4837	31263
134	4875	31241
135	4914	31218
136	4951	31190
137	4986	31150
138	5023	31115
139	5059	31080
140	5095	31043
141	5131	31005
142	5166	30964
143	5203	30931
144	5238	30889
145	5274	30854
146	5310	30815
147	5347	30783
148	5385	30759
149	5422	30727
150	5461	30705
151	5495	30661
152	5530	30617
153	5567	30584
154	5604	30553
155	5659	30620
156	5704	30629
157	5750	30643
158	5787	30612
159	5822	30568
160	5858	30528
161	5893	30486
162	5928	30444
163	5963	30401
164	5998	30356
165	6033	30313
166	6069	30274
167	6107	30244
168	6142	30203
169	6177	30160
170	6213	30121
171	6247	30077
172	6282	30032
173	6317	29990
174	6352	29949
175	6389	29912
176	6425	29876
177	6461	29837
178	6496	29796
179	6530	29751
180	6566	29710
181	6600	29666
182	6635	29622
183	6671	29588
184	6707	29547
185	6744	29514
186	6778	29471
187	6813	29429
188	6848	29388
189	6884	29349
190	6919	29306
191	6954	29266
192	6989	29223
193	7024	29186
194	7059	29144
195	7094	29101
196	7128	29057
197	7163	29016
198	7199	28979
199	7235	28940
200	7270	28900
201	7305	28859
202	7340	28819
203	7376	28781
204	7412	28744
205	7449	28712
206	7484	28673
207	7520	28636
208	7556	28597
209	7592	28562
210	7628	28525
211	7663	28484
212	7699	28447
213	7734	28409
214	7770	28370
215	7805	28331
216	7841	28294
217	7876	28254
218	7911	28213
219	7947	28177
220	7982	28137
221	8017	28095
222	8051	28053
223	8085	28012
224	8121	27972
225	8156	27933
226	8191	27894
227	8227	27857
228	8262	27819
229	8298	27781
230	8333	27743
231	8368	27704
232	8405	27669
233	8441	27633
234	8477	27596
235	8513	27562
236	8550	27527
237	8586	27490
238	8620	27449
239	8656	27411
240	8692	27374
241	8727	27335
242	8762	27296
243	8797	27256
244	8832	27218
245	8866	27177
246	8902	27138
247	8936	27097
248	8971	27060
249	9005	27017
250	9040	26977
251	9075	26938
252	9111	26901
253	9146	26864
254	9181	26825
255	9217	26787
256	9253	26751
257	9288	26712
258	9322	26671
259	9356	26630
260	9391	26592
261	9427	26556
262	9463	26518
263	9498	26482
264	9533	26441
265	9567	26400
266	9603	26364
267	9639	26327
268	9674	26291
269	9710	26255
270	9746	26219
271	9782	26181
272	9817	26143
273	9852	26105
274	9887	26066
275	9922	26029
276	9958	25993
277	9994	25955
278	10029	25919
279	10065	25882
280	10100	25843
281	10133	25801
282	10167	25761
283	10203	25723
284	10237	25684
285	10272	25644
286	10307	25607
287	10343	25570
288	10379	25536
289	10415	25500
290	10453	25469
291	10488	25431
292	10524	25395
293	10559	25357
294	10594	25319
295	10631	25286
296	10666	25247
297	10701	25209
298	10736	25172
299	10772	25134
300	10806	25095
301	10840	25055
302	10875	25017
303	10909	24977
304	10944	24938
305	10979	24901
306	11014	24862
307	11049	24825
308	11085	24788
309	11122	24756
310	11158	24721
311	11193	24683
312	11228	24646
313	11264	24609
314	11299	24572
315	11335	24535
316	11371	24501
317	11409	24469
318	11445	24432
319	11480	24396
320	11514	24356
321	11550	24320
322	11585	24283
323	11621	24247
324	11658	24214
325	11694	24177
326	11730	24141
327	11768	24111
328	11804	24076
329	11840	24039
330	11875	24001
331	11909	23962
332	11944	23925
333	11980	23888
334	12015	23852
335	12051	23815
336	12086	23777
337	12121	23740
338	12155	23702
339	12191	23665
340	12227	23630
341	12264	23595
342	12299	23559
343	12335	23523
344	12370	23486
345	12409	23455
346	12445	23420
347	12483	23388
348	12521	23357
349	12557	23320
350	12591	23282
351	12631	23252
352	12668	23220
353	12709	23192
354	12750	23166
355	12790	23137
356	12828	23105
357	12865	23071
358	12901	23036
359	12939	23003
360	12976	22968
361	13012	22933
362	13048	22897
363	13083	22860
364	13120	22825
365	13156	22789
366	13192	22754
367	13232	22725
368	13272	22696
369	13311	22665
370	13351	22636
371	13389	22604
372	13428	22572
373	13463	22535
374	13499	22499
375	13534	22462
376	13570	22425
377	13606	22389
378	13642	22354
379	13678	22318
380	13713	22280
381	13748	22242
382	13784	22205
383	13819	22168
384	13854	22131
385	13889	22093
386	13924	22056
387	13960	22019
388	13995	21982
389	14029	21943
390	14063	21905
391	14098	21867
392	14133	21828
393	14169	21794
394	14204	21756
395	14239	21718
396	14272	21678
397	14307	21641
398	14342	21603
399	14378	21567
400	14413	21530
401	14450	21496
402	14486	21460
403	14521	21422
404	14557	21386
405	14592	21350
406	14629	21315
407	14664	21278
408	14701	21243
409	14736	21206
410	14772	21169
411	14807	21132
412	14844	21098
413	14879	21060
414	14913	21022
415	14948	20985
416	14982	20946
417	15017	20909
418	15051	20871
419	15085	20832
420	15119	20794
421	15154	20756
422	15189	20719
423	15224	20681
424	15259	20645
425	15295	20609
426	15332	20575
427	15368	20539
428	15404	20503
429	15439	20466
430	15474	20428
431	15511	20394
432	15552	20365
433	15598	20342
434	15643	20318
435	15687	20292
436	15724	20258
437	15759	20220
438	15795	20185
439	15831	20148
440	15867	20112
441	15903	20077
442	15939	20041
443	15974	20004
444	16010	19967
445	16045	19931
446	16081	19895
447	16120	19862
448	16158	19829
449	16198	19798
450	16234	19762
451	16270	19726
452	16305	19688
453	16341	19653
454	16378	19617
455	16414	19582
456	16450	19546
457	16486	19510
458	16521	19472
459	16556	19436
460	16592	19399
461	16628	19364
462	16663	19326
463	16699	19290
464	16733	19252
465	16769	19216
466	16804	19179
467	16839	19142
468	16874	19105
469	16910	19069
470	16946	19033
471	16983	18998
472	17021	18964
473	17056	18927
474	17092	18891
475	17127	18854
476	17162	18817
477	17198	18781
478	17235	18746
479	17271	18710
480	17305	18672
481	17340	18635
482	17376	18599
483	17413	18564
484	17448	18527
485	17484	18491
486	17519	18455
487	17556	18419
488	17592	18383
489	17629	18348
490	17664	18312
491	17700	18276
492	17737	18240
493	17773	18204
494	17807	18167
495	17843	18131
496	17878	18094
497	17914	18058
498	17952	18024
499	17988	17988
500	18027	17955
501	18063	17919
502	18099	17883
503	18134	17846
504	18169	17809
505	18204	17772
506	18239	17736
507	18275	17699
508	18310	17663
509	18346	17627
510	18382	17591
511	18417	17554
512	18452	17516
513	18488	17481
514	18524	17445
515	18559	17408
516	18595	17372
517	18630	17335
518	18664	17297
519	18699	17261
520	18734	17224
521	18769	17187
522	18803	17149
523	18837	17112
524	18872	17075
525	18907	17038
526	18942	17001
527	18975	16963
528	19009	16925
529	19045	16888
530	19080	16852
531	19118	16818
532	19154	16782
533	19188	16744
534	19223	16708
535	19258	16671
536	19293	16634
537	19328	16598
538	19363	16561
539	19399	16525
540	19437	16491
541	19474	16456
542	19511	16421
543	19546	16384
544	19581	16348
545	19618	16312
546	19653	16276
547	19689	16239
548	19725	16204
549	19760	16167
550	19796	16131
551	19832	16095
552	19867	16059
553	19904	16023
554	19940	15988
555	19976	15952
556	20010	15915
557	20046	15878
558	20081	15842
559	20115	15804
560	20150	15768
561	20185	15732
562	20221	15695
563	20256	15659
564	20291	15622
565	20326	15585
566	20361	15549
567	20397	15513
568	20433	15478
569	20468	15441
570	20503	15404
571	20539	15368
572	20573	15331
573	20609	15295
574	20644	15258
575	20678	15222
576	20713	15185
577	20748	15148
578	20782	15110
579	20816	15074
580	20850	15036
581	20884	14999
582	20919	14962
583	20953	14925
584	20988	14889
585	21022	14852
586	21056	14815
587	21091	14778
588	21127	14742
589	21162	14706
590	21198	14670
591	21232	14633
592	21267	14597
593	21302	14560
594	21336	14523
595	21372	14487
596	21407	14451
597	21442	14414
598	21477	14377
599	21512	14341
600	21546	14304
601	21581	14268
602	21616	14231
603	21652	14196
604	21688	14160
605	21723	14123
606	21759	14088
607	21795	14052
608	21831	14016
609	21868	13981
610	21904	13946
611	21942	13911
612	21979	13875
613	22013	13839
614	22048	13802
615	22084	13766
616	22119	13730
617	22155	13695
618	22191	13659
619	22227	13623
620	22261	13586
621	22298	13550
622	22336	13516
623	22373	13481
624	22411	13446
625	22446	13410
626	22481	13374
627	22516	13337
628	22551	13301
629	22588	13266
630	22624	13230
631	22660	13194
632	22695	13158
633	22731	13122
634	22765	13085
635	22800	13049
636	22834	13012
637	22869	12976
638	22906	12940
639	22942	12905
640	22977	12868
641	23012	12832
642	23047	12795
643	23082	12759
644	23118	12724
645	23154	12688
646	23191	12652
647	23227	12617
648	23262	12581
649	23298	12545
650	23333	12509
651	23371	12474
652	23409	12439
653	23446	12404
654	23482	12368
655	23521	12334
656	23556	12297
657	23591	12261
658	23626	12225
659	23662	12189
660	23697	12153
661	23732	12117
662	23769	12081
663	23805	12045
664	23839	12009
665	23875	11973
666	23912	11938
667	23947	11902
668	23983	11866
669	24020	11830
670	24055	11794
671	24090	11758
672	24126	11722
673	24162	11686
674	24197	11650
675	24234	11615
676	24269	11579
677	24306	11543
678	24341	11507
679	24377	11471
680	24415	11436
681	24451	11401
682	24489	11366
683	24525	11330
684	24562	11295
685	24600	11260
686	24635	11223
687	24670	11187
688	24706	11152
689	24742	11116
690	24777	11079
691	24812	11043
692	24847	11007
693	24882	10971
694	24918	10935
695	24953	10899
696	24989	10863
697	25024	10827
698	25059	10791
699	25094	10754
700	25129	10718
701	25164	10682
702	25200	10646
703	25235	10610
704	25274	10575
705	25308	10539
706	25343	10502
707	25379	10467
708	25414	10431
709	25450	10395
710	25493	10362
711	25536	10329
712	25579	10296
713	25623	10263
714	25657	10227
715	25692	10191
716	25727	10154
717	25762	10118
718	25798	10082
719	25833	10046
720	25869	10010
721	25904	9974
722	25939	9938
723	25976	9902
724	26012	9866
725	26050	9831
726	26088	9796
727	26125	9761
728	26163	9726
729	26203	9691
730	26240	9656
731	26275	9619
732	26311	9584
733	26348	9548
734	26388	9514
735	26424	9478
736	26460	9442
737	26496	9406
738	26531	9370
739	26566	9334
740	26602	9298
741	26637	9262
742	26672	9225
743	26707	9189
744	26742	9153
745	26778	9117
746	26812	9081
747	26847	9044
748	26882	9008
749	26918	8972
750	26953	8936
751	26989	8900
752	27026	8865
753	27061	8828
754	27097	8793
755	27134	8757
756	27170	8721
757	27208	8686
758	27244	8650
759	27279	8614
760	27317	8579
761	27352	8543
762	27387	8507
763	27423	8471
764	27458	8434
765	27492	8398
766	27526	8362
767	27562	8326
768	27596	8289
769	27633	8254
770	27671	8218
771	27705	8182
772	27740	8146
773	27775	8110
774	27810	8074
775	27846	8038
776	27881	8001
777	27917	7966
778	27952	7929
779	27986	7893
780	28022	7857
781	28058	7821
782	28093	7785
783	28128	7749
784	28163	7713
785	28199	7677
786	28233	7641
787	28269	7605
788	28306	7569
789	28342	7534
790	28379	7498
791	28415	7462
792	28450	7426
793	28486	7390
794	28521	7354
795	28556	7318
796	28592	7282
797	28627	7246
798	28662	7210
799	28696	7174
800	28731	7137
801	28765	7101
802	28800	7065
803	28835	7029
804	28871	6993
805	28906	6957
806	28940	6921
807	28975	6885
808	29009	6848
809	29043	6812
810	29078	6776
811	29112	6740
812	29146	6704
813	29182	6668
814	29215	6631
815	29250	6595
816	29285	6559
817	29320	6523
818	29356	6487
819	29395	6452
820	29431	6416
821	29465	6380
822	29501	6344
823	29537	6308
824	29574	6273
825	29611	6237
826	29646	6201
827	29680	6165
828	29717	6129
829	29752	6093
830	29786	6057
831	29822	6021
832	29857	5985
833	29893	5949
834	29928	5913
835	29962	5877
836	29998	5842
837	30032	5805
838	30065	5769
839	30100	5733
840	30135	5697
841	30170	5661
842	30205	5625
843	30240	5589
844	30274	5553
845	30310	5517
846	30345	5481
847	30380	5445
848	30416	5409
849	30451	5373
850	30486	5337
851	30522	5302
852	30558	5266
853	30592	5230
854	30627	5194
855	30663	5158
856	30697	5122
857	30731	5086
858	30765	5050
859	30800	5014
860	30835	4978
861	30870	4942
862	30905	4906
863	30940	4870
864	30975	4834
865	31009	4798
866	31044	4762
867	31079	4726
868	31114	4690
869	31149	4654
870	31184	4618
871	31219	4582
872	31255	4546
873	31289	4510
874	31324	4474
875	31359	4439
876	31394	4403
877	31431	4367
878	31466	4331
879	31500	4295
880	31536	4259
881	31574	4224
882	31610	4188
883	31646	4152
884	31680	4116
885	31714	4080
886	31750	4044
887	31784	4008
888	31819	3972
889	31854	3937
890	31889	3901
891	31925	3865
892	31961	3829
893	31995	3793
894	32031	3757
895	32065	3721
896	32099	3685
897	32134	3649
898	32168	3614
899	32203	3578
900	32238	3542
901	32274	3506
902	32310	3470
903	32347	3435
904	32384	3399
905	32420	3363
906	32456	3327
907	32493	3292
908	32529	3256
909	32564	3220
910	32600	3184
911	32639	3149
912	32674	3113
913	32709	3077
914	32746	3042
915	32780	3006
916	32814	2970
917	32850	2934
918	32884	2898
919	32920	2862
920	32958	2827
921	32993	2791
922	33031	2755
923	33066	2719
924	33101	2683
925	33139	2648
926	33175	2612
927	33212	2576
928	33249	2541
929	33286	2505
930	33322	2469
931	33358	2433
932	33394	2398
933	33428	2362
934	33464	2326
935	33499	2290
936	33535	2254
937	33572	2219
938	33606	2183
939	33642	2147
940	33676	2111
941	33711	2075
942	33745	2039
943	33780	2003
944	33815	1968
945	33849	1932
946	33884	1896
947	33920	1860
948	33954	1824
949	33990	1788
950	34024	1753
951	34059	1717
952	34095	1681
953	34129	1645
954	34164	1609
955	34199	1574
956	34234	1538
957	34269	1502
958	34304	1466
959	34340	1430
960	34375	1395
